start,end,title,description,height,color,textcolor,text_wrap,title_fontsize,description_fontsize,linewidth,horizontalalignment,x_offset,y_offset,marker,markerfmt,markersize,vline,vlinewidth,annotation_anchor,alpha,arrowprops,placement
24/2/2026 5:05,,First milestone,A milestone here with annotation_anchor=start and marker=false,0.8,blueviolet,royalblue,35,,,,,,36,FALSE,,,,1,start,,,
24/2/2026 10:15,20/3/2026 16:05,This is a long span,"This long span covers most of the duration of the x-axis, including the break in the x-axis",3.5,darkorange,navy,1000,11,11,30,,250,11,,,,,,,,,
24/2/2026 1:45,24/2/2026 19:45,This is a shorter span,"Height=2.2, y-offset=40, linewidth=24. This span has annotation_anchor=right and alignment=right so the label points at the end of the activity.",2.2,goldenrod,crimson,80,,,24,right,,40,,,,,,right,,,
24/2/2026 20:45,26/2/2026 23:30,This is a short span,"Height=2.2, y-offset=40, linewidth=8. This span has alignment=left so the label points at the start of the activity.",2.2,deeppink,darkgoldenrod,80,,,8,left,,40,,,,,,,,,
16/3/2026 8:18,20/3/2026 10:45,Post-break span,This span starts 8 hours after the 16 Mar tick so spacing after the break can be visually checked.,2.2,lawngreen,mediumvioletred,35,,,,,50,40,,,,,,,,,
24/2/2026 12:05,,Left aligned milestone,This milestone has alignment=left.  The default markerfmt=o is a circle.,0.8,mediumblue,deepskyblue,30,,,,left,,36,,,,,,,,,
25/2/2026 14:10,,Arrow annotation using arrowprops,,1.3,slateblue,teal,15,,,,,30,30,,^,8,,3,,,"{""arrowstyle"": ""->"", ""color"": ""purple"", ""linewidth"": 0.8}",
26/2/2026 16:40,,Left placed label,Placement=left forces the label to the left of the marker. This causes alignment=right and x-offset=-10,1.2,seagreen,darkgreen,30,,,,,,-10,,D,10,,6,,,,left
16/3/2026 11:18,,11:18:23-11:20:31,This is actually a milestone disguised as a span in the event the span is too small to be seen. vline=false,0.8,midnightblue,magenta,45,,,,,,36,,s,,FALSE,,,,,
20/3/2026 15:45,,Last milestone,A milestone here with annotation_anchor=end,0.5,firebrick,maroon,35,,,,,,36,,x,12,,,end,,,
